# BetterQuesting Item Export
# Format: modid:item_name
# Use these IDs in DSL quest files

3DManeuverGear:3DManeuverGear                      # 3D Maneuver Gear
moarswords:HeavyQuartzToolRod                      # Heavy Quartz Tool Rod
moarswords:HeavySteelToolRod                       # Heavy Steel Tool Rod
moarswords:HeavyWoodenToolRod                      # Heavy Wooden Tool Rod
moarswords:HungerIngot                             # Raw Meat Ingot
moarswords:HungerSword                             # Hunger Sword
moarswords:HungerToolRod                           # Raw Meat Tool Rod
moarswords:IconBlock                               # Creative Tab Icon Block
moarswords:InfusedGapple                           # Tear Infused Golden Apple
moarswords:InvisibleIngot                          # Glass Ingot
moarswords:InvisibleSword                          # Sword of Invisibility
moarswords:InvisibleToolRod                        # Glass Tool Rod
moarswords:KnockbackSword                          # Knockback Sword
moarswords:LightningBolt                           # Lightning Bolt
moarswords:LightningBoltRender                     # Bro, missed something?
moarswords:LightningSword                          # Lightning Sword
moarswords:LightningToolRod                        # Lightning Tool Rod
moarswords:LootingSword                            # Looting Sword
moarswords:NauseousIngot                           # Nauseous Ingot
moarswords:NauseousSword                           # Nausea Sword
moarswords:NauseousToolRod                         # Nauseous Tool Rod
moarswords:NightVisionSword                        # Night Vision Sword
moarswords:PoisonIngot                             # Poison Ingot
moarswords:PoisonSword                             # Poison Sword
moarswords:PoisonToolRod                           # Poison Tool Rod
moarswords:PoisonousSlime                          # Poisonous Slime
moarswords:QuartzToolRod                           # Quartz Tool Rod
moarswords:RegenSword                              # Regeneration Sword
moarswords:ResistantIngot                          # Resistant Ingot
moarswords:ResistantToolRod                        # Resistant Tool Rod
moarswords:RespiratoryIngot                        # Respiratory Ingot
moarswords:RespiratorySword                        # Sword Of Water Breathing
moarswords:RespiratoryToolRod                      # Respiratory Tool Rod
moarswords:RottenIngot                             # Rotten Ingot
moarswords:SaturationSword                         # Saturation Sword
moarswords:SharpnessSword                          # Sharpness Sword
moarswords:SlimeIngot                              # Slime Ingot
moarswords:SlimeToolRod                            # Slime Tool Rod
moarswords:SlownessIngot                           # Heavy Ingot
moarswords:SlownessSword                           # Slowness Sword
moarswords:SlownessToolRod                         # Heavy Tool Rod
moarswords:SmiteSword                              # Smite Sword
moarswords:SpeedSword                              # Speed Sword
moarswords:SpiderEyeIngot                          # Spider Eye Ingot
moarswords:SpiderEyeSlime                          # Spider Eye Slime
moarswords:SpiderEyeToolRod                        # Spider Eye Tool Rod
moarswords:SteelBlock                              # Block of Steel
moarswords:SteelIngot                              # Steel Ingot
moarswords:SteelToolRod                            # Steel Tool Rod
moarswords:StrengthIngot                           # Nether Brick Ingot
moarswords:StrengthSword                           # Strength Sword
moarswords:StrengthToolRod                         # Nether Brick Tool Rod
moarswords:StrengthenedGapple                      # Strengthened Golden Apple
moarswords:StrengthenedGappleIngot                 # Strengthened Golden Apple Ingot
moarswords:StrengthenedGappleToolRod               # Strengthened Golden Apple Tool Rod
moarswords:SwordOfArthropodBane                    # Sword Of Arthropod Bane
moarswords:SwordOfHaste                            # Sword Of Haste
moarswords:SwordOfHealthBoost                      # Sword Of Health Boost
moarswords:SwordOfLeaping                          # Sword Of Leaping
moarswords:SwordOfMiningFatigue                    # Sword Of Mining Fatigue
moarswords:SwordOfResistance                       # Sword Of Resistance
moarswords:SwordOfWeakness                         # Sword Of Weakness
moarswords:UnbreakingSword                         # Unbreaking Sword
